age;edu_level;fav_animals;fav_place;gender
<18;Primary;None;;Female
25-34;Secondary;Dogs;By the Water;Male
45-54;Higher;Dogs;In the Forest;Male
35-44;Secondary;Cats;In the Mountains;Male
35-44;Higher;Dogs;By the Water;Male
25-34;Higher;Dogs;In the Forest;Male
25-34;Higher;Cats;In the Mountains;Male
25-34;Higher;None;In the Mountains;Male
45-54;Higher;Dogs;In the Mountains;Female
18-24;Secondary;Cats;In the Mountains;Male
35-44;Higher;None;In the Mountains;Male
25-34;Higher;Dogs;In the Forest;Female
35-44;Higher;Dogs;By the Water;Male
35-44;Secondary;Other;In the Mountains;Male
45-54;Higher;Other;By the Water;Male
35-44;Secondary;Cats;By the Water;Male
>=65;Higher;None;;Male
45-54;Higher;Dogs;In the Mountains;Male
35-44;Higher;Cats;;Male
45-54;Higher;both_cats_and_dogs;By the Water;Female
35-44;Higher;Dogs;By the Water;Male
>=65;Higher;None;In the Forest;Female
35-44;Higher;Dogs;By the Water;Male
35-44;Higher;Dogs;By the Water;Male
45-54;Secondary;Dogs;By the Water;Male
45-54;Higher;Dogs;In the Forest;Male
35-44;Higher;Cats;In the Mountains;Male
35-44;Higher;Cats;In the Mountains;Male
25-34;Higher;Cats;In the Mountains;Female
25-34;Higher;Cats;In the Mountains;Male
55-64;Higher;Other;;Male
35-44;Secondary;Dogs;By the Water;Female
35-44;Higher;Cats;By the Water;Male
25-34;Secondary;Other;Other;Male
45-54;Secondary;Cats;Other;Male
25-34;Secondary;Dogs;By the Water;Male
25-34;Secondary;Other;In the Mountains;Male
35-44;Higher;None;By the Water;Male
45-54;Secondary;Dogs;In the Mountains;Male
25-34;Higher;Dogs;In the Mountains;Male
45-54;Higher;Cats;In the Forest;Male
35-44;Higher;Dogs;In the Mountains;
35-44;Higher;None;In the Forest;Male
35-44;Secondary;Dogs;By the Water;Female
45-54;Higher;Dogs;By the Water;Female
45-54;Secondary;Dogs;By the Water;Male
35-44;Higher;Other;In the Mountains;Male
45-54;Higher;Dogs;By the Water;Female
None;Higher;None;;
>=65;Higher;None;In the Mountains;Female
45-54;Higher;None;In the Mountains;Female
45-54;Higher;Other;In the Forest;Female
25-34;Higher;Dogs;Other;Female
18-24;Higher;None;In the Mountains;Male
35-44;Higher;Dogs;In the Forest;Male
25-34;Secondary;Cats;In the Forest;Male
55-64;Higher;Dogs;In the Mountains;Male
35-44;Higher;Dogs;In the Mountains;Male
35-44;Higher;Dogs;In the Forest;Male
35-44;Higher;Other;By the Water;Male
45-54;Higher;Dogs;In the Mountains;Male
35-44;Higher;Other;By the Water;Male
35-44;Secondary;None;;Female
35-44;Higher;both_cats_and_dogs;In the Mountains;Female
35-44;Higher;Cats;In the Mountains;Male
>=65;Higher;None;In the Mountains;Male
45-54;Higher;Other;Other;Male
45-54;Higher;Dogs;By the Water;Male
35-44;Higher;Dogs;By the Water;Male
25-34;Higher;Dogs;By the Water;Female
35-44;Higher;Other;By the Water;Female
55-64;Higher;Dogs;By the Water;Male
55-64;Higher;Dogs;By the Water;Male
45-54;Higher;both_cats_and_dogs;;Male
35-44;Higher;Dogs;In the Mountains;Male
35-44;Higher;Dogs;In the Forest;Female
55-64;Higher;both_cats_and_dogs;By the Water;Male
35-44;Higher;Dogs;;Female
25-34;Higher;Dogs;In the Forest;Female
35-44;Higher;Dogs;;Male
25-34;Higher;Other;In the Mountains;Male
55-64;Higher;Dogs;;Male
18-24;Secondary;Dogs;In the Mountains;Male
35-44;Higher;Dogs;By the Water;Female
45-54;Higher;Dogs;;Male
35-44;Higher;Other;Other;Female
45-54;Higher;Dogs;By the Water;Female
35-44;Higher;None;In the Mountains;Male
45-54;Secondary;Dogs;In the Mountains;Male
25-34;Higher;Dogs;By the Water;Male
35-44;Higher;Dogs;By the Water;Male
25-34;Higher;Other;In the Forest;Male
25-34;Secondary;Dogs;In the Mountains;Male
45-54;Secondary;Other;In the Forest;Male
None;Higher;Dogs;By the Water;Female
35-44;Higher;Dogs;In the Forest;Male
45-54;Higher;Dogs;In the Forest;Male
55-64;Higher;Dogs;In the Forest;Male
35-44;Secondary;Dogs;In the Forest;Female
35-44;Higher;Dogs;;Male
35-44;Higher;Dogs;By the Water;Female
35-44;Higher;None;By the Water;Male
35-44;Higher;None;;Male
45-54;Secondary;Other;Other;Male
45-54;Secondary;None;In the Mountains;Male
55-64;Higher;Dogs;By the Water;Male
35-44;Secondary;Dogs;In the Mountains;Male
35-44;Higher;Cats;In the Mountains;Female
45-54;Higher;Dogs;By the Water;Female
25-34;Secondary;Cats;In the Forest;Male
45-54;Higher;Dogs;By the Water;Male
45-54;Higher;Dogs;By the Water;Male
35-44;Higher;Cats;In the Mountains;Male
45-54;Higher;Dogs;Other;Male
45-54;Higher;Dogs;In the Forest;Male
25-34;Higher;Cats;;Male
45-54;Higher;None;By the Water;Male
45-54;Higher;Other;In the Forest;Male
45-54;Higher;Dogs;In the Forest;Male
25-34;Higher;Dogs;In the Mountains;Male
45-54;Secondary;Other;In the Mountains;Male
18-24;Secondary;Dogs;By the Water;Male
35-44;Higher;Dogs;By the Water;Male
45-54;Higher;Dogs;In the Forest;Male
>=65;Higher;Dogs;By the Water;Male
35-44;Higher;Cats;In the Mountains;Male
35-44;Higher;Dogs;Other;Male
45-54;Higher;Dogs;;Female
45-54;Higher;Other;By the Water;Male
35-44;Higher;None;In the Forest;Male
18-24;Secondary;Dogs;In the Mountains;Male
35-44;Higher;Dogs;By the Water;Male
45-54;Higher;Cats;In the Forest;Male
35-44;Higher;Other;In the Mountains;Male
55-64;Higher;Dogs;By the Water;Male
35-44;Higher;Cats;In the Mountains;Male
35-44;Higher;Dogs;In the Mountains;Male
45-54;Higher;Dogs;In the Forest;Female
35-44;Higher;Dogs;By the Water;Female
18-24;Secondary;Other;In the Mountains;Male
45-54;Secondary;Cats;In the Forest;Male
25-34;Higher;Dogs;;Male
45-54;Higher;Other;In the Mountains;Male
35-44;Secondary;Cats;In the Mountains;Male
45-54;Higher;Dogs;In the Forest;Female
45-54;Higher;Dogs;By the Water;Male
25-34;Higher;Dogs;In the Forest;Male
25-34;Higher;Dogs;By the Water;Male
45-54;Higher;Cats;;Male
35-44;Higher;None;By the Water;Female
35-44;Secondary;Dogs;In the Forest;Male
35-44;Higher;Dogs;By the Water;Male
45-54;Higher;Other;In the Mountains;Male
25-34;Higher;Cats;;Male
25-34;Higher;Dogs;By the Water;Female
25-34;Secondary;Dogs;In the Mountains;Male
55-64;Higher;Other;;Male
55-64;Higher;Cats;By the Water;Male
35-44;Higher;both_cats_and_dogs;In the Mountains;Female
35-44;Higher;Dogs;By the Water;Male
25-34;Higher;Dogs;In the Mountains;Female
45-54;Higher;None;In the Forest;Male
18-24;Secondary;Cats;In the Mountains;Female
25-34;Higher;Dogs;In the Mountains;Male
35-44;Higher;Dogs;By the Water;Male
25-34;Secondary;Cats;;Male
25-34;Higher;Dogs;In the Mountains;Female
35-44;Higher;Dogs;In the Mountains;Male
45-54;Higher;Cats;In the Forest;Female
35-44;Higher;Dogs;In the Mountains;Female
25-34;Secondary;None;In the Mountains;Female
45-54;Higher;Cats;In the Forest;Male
35-44;Higher;Dogs;In the Mountains;Male
35-44;Higher;Dogs;By the Water;Female
18-24;Secondary;Cats;In the Forest;Male
55-64;Higher;Dogs;In the Forest;Male
45-54;Higher;Dogs;In the Mountains;Male
45-54;Higher;Dogs;In the Mountains;Male
45-54;Higher;Dogs;By the Water;Male
55-64;Higher;None;In the Forest;Female
35-44;Secondary;Other;By the Water;Male
35-44;Higher;Dogs;In the Mountains;Male
35-44;Higher;Other;In the Mountains;Male
25-34;Higher;Other;In the Forest;Male
45-54;Secondary;Cats;;Female
45-54;Higher;Cats;In the Mountains;Male
25-34;Higher;Dogs;In the Forest;Male
45-54;Higher;Cats;;Female
18-24;Higher;Other;;Male
45-54;Higher;Dogs;;Male
35-44;Secondary;Dogs;By the Water;Male
35-44;Higher;Dogs;In the Mountains;Male
35-44;Higher;Other;By the Water;Female
45-54;Higher;Cats;By the Water;Male
35-44;Higher;Dogs;In the Mountains;Female
35-44;Higher;Dogs;In the Forest;Male
55-64;Higher;Cats;In the Forest;Male
>=65;Higher;Dogs;By the Water;Male
35-44;Higher;Cats;By the Water;Female
35-44;Higher;Dogs;;Male
35-44;Higher;Dogs;In the Forest;Male
45-54;Higher;Dogs;In the Mountains;Male
18-24;Secondary;Dogs;By the Water;Male
45-54;Secondary;Dogs;By the Water;Male
35-44;Higher;Dogs;By the Water;Male
45-54;Secondary;None;In the Mountains;Male
>=65;Secondary;Dogs;;Male
45-54;Higher;Dogs;By the Water;Male
45-54;Higher;Dogs;In the Mountains;Male
35-44;Higher;None;By the Water;Male
45-54;Higher;Dogs;In the Forest;Male
45-54;Higher;Dogs;;Female
45-54;Higher;both_cats_and_dogs;By the Water;Male
45-54;Higher;Cats;In the Mountains;Male
45-54;Higher;Dogs;In the Forest;Male
45-54;Higher;Dogs;By the Water;Female
35-44;Higher;Dogs;By the Water;Male
45-54;Higher;Other;By the Water;Female
45-54;Higher;Dogs;In the Mountains;Male
55-64;Higher;Other;;Male
45-54;Higher;Dogs;In the Mountains;Female
25-34;Higher;Cats;By the Water;Male
45-54;Higher;Dogs;In the Mountains;Female
35-44;Higher;Other;;Female
35-44;Higher;Cats;Other;Female
45-54;Higher;Other;In the Forest;Male
25-34;Higher;Dogs;In the Mountains;Male
35-44;Higher;None;In the Mountains;Male
45-54;Higher;Cats;By the Water;Male
